"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","16","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","8","1","0.000000","0","0"
"/nDisplay/TestPatterns/Animated/M_TPAStrips.M_TPAStrips","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Animated/M_TPARadar.M_TPARadar","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Animated/M_TPAMirroredChevron.M_TPAMirroredChevron","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Animated/M_TPAGrid.M_TPAGrid","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Animated/M_TPAChevron.M_TPAChevron","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Statics/M_TPSGridCircles.M_TPSGridCircles","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Statics/M_TPSGrayBars.M_TPSGrayBars","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Statics/M_TPSColoredBars.M_TPSColoredBars","0","0","6","1","0.000000","0","0"
"/nDisplay/TestPatterns/Statics/M_TPSCircles.M_TPSCircles","0","0","6","1","0.000000","0","0"
"/nDisplay/Materials/Preview/M_ProjPolicyPreview.M_ProjPolicyPreview","0","0","12","1","0.000000","0","0"
"/Engine/EditorMaterials/WidgetMaterial_Z.WidgetMaterial_Z","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleOpaque.M_SimpleOpaque","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
